"AOI","Temp","Time","Rep","Species","Leaf","final","initial","post","post-wet","final-wet"
"7","30","5","A","Poplar","Whole","0.852","0.857","0.821",NA,NA
"7","48","30","B","Poplar","Whole","0.123","0.864","0.253",NA,NA
"7","48","5","A","Poplar","Whole","0.688","0.851","0.634",NA,NA
"7","48","5","B","Poplar","Whole","0.691",NA,"0.651",NA,NA
"8","30","5","B","Lomandra","Whole","0.795","0.797","0.751",NA,NA
"8","48","5","A","Lomandra","Whole","0.77","0.805","0.704",NA,NA
"8","48","120","A","Lomandra","Whole","0.252","0.833","0.271",NA,NA
"8","40","120","B","Lomandra","Whole",NA,"0.808",NA,"0.5","0.755"
"8","40","120","A","Lomandra","Whole","0.737","0.808","0.625",NA,NA
"8","48","30","B","Lomandra","Whole","0.483","0.832","0.489",NA,NA
"8","48","120","B","Lomandra","Whole","0.355","0.799","0.248",NA,NA
"8","40","5","A","Lomandra","Whole","0.747","0.808","0.711",NA,NA
"8","40","30","A","Lomandra","Whole","0.794","0.79","0.729",NA,NA
"8","30","30","B","Lomandra","Whole","0.805","0.769","0.806",NA,NA
"8","30","120","A","Lomandra","Whole","0.758","0.8","0.696",NA,NA
"8","40","5","B","Lomandra","Whole","0.801","0.816","0.779",NA,NA
"8","30","30","A","Lomandra","Whole","0.818","0.809","0.783",NA,NA
"8","30","120","B","Lomandra","Whole","0.773","0.829","0.676",NA,NA
"8","48","30","A","Lomandra","Whole",NA,"0.809",NA,"0.488","0.423"
"8","40","30","B","Lomandra","Whole","0.775","0.773","0.693",NA,NA
"8","30","5","A","Lomandra","Whole","0.813","0.82","0.782",NA,NA
"8","48","5","B","Lomandra","Whole","0.742",NA,"0.686",NA,NA
"9","30","120","A","Lomandra","Cut","0.757","0.715","0.656",NA,NA
"9","48","30","B","Lomandra","Cut","0.681","0.819","0.479",NA,NA
"9","48","120","A","Lomandra","Cut","0.585","0.795","0",NA,NA
"9","30","5","B","Lomandra","Cut","0.816","0.813","0.784",NA,NA
"9","48","120","B","Lomandra","Cut","0.413","0.741","0",NA,NA
"9","40","30","A","Lomandra","Cut","0.759","0.75","0.726",NA,NA
"9","40","5","A","Lomandra","Cut","0.756","0.821","0.744",NA,NA
"9","30","30","B","Lomandra","Cut","0.805","0.777","0.805",NA,NA
"9","30","120","B","Lomandra","Cut","0.787","0.826","0.734",NA,NA
"9","48","30","A","Lomandra","Cut",NA,"0.805",NA,"0.517","0.413"
"9","40","120","B","Lomandra","Cut",NA,"0.815",NA,"0.723","0.753"
"9","40","120","A","Lomandra","Cut","0.799","0.804","0.759",NA,NA
"9","48","5","A","Lomandra","Cut","0.722","0.799","0.661",NA,NA
"9","40","5","B","Lomandra","Cut","0.778","0.756","0.743",NA,NA
"9","30","30","A","Lomandra","Cut","0.82","0.819","0.786",NA,NA
"9","40","30","B","Lomandra","Cut","0.767","0.742","0.692",NA,NA
"9","30","5","A","Lomandra","Cut","0.815","0.819","0.789",NA,NA
"9","48","5","B","Lomandra","Cut","0.655",NA,"0.545",NA,NA
