"AOI","Light","Temp","Time","Cell","Species","final","initial","post"
"12","N","42","30","C2","Poplar","0.827","0.865","0.805"
"12","N","40","60","C2","Poplar","0.806","0.831","0.718"
"12","L","30","5","C2","Poplar","0.846","0.852","0.815"
"12","N","48","60","C2","Poplar","0.588","0.854","0.45"
"12","N","48","30","C2","Poplar","0.705","0.841","0.558"
"12","N","30","60","C2","Poplar","0.86","0.854","0.829"
"12","M","44","5","C2","Poplar","0.794","0.873","0.736"
"12","H","52","30","C2","Poplar","0.185","0.842","0.145"
"12","M","44","15","C2","Poplar","0.486","0.857","0.503"
"12","N","52","5","C2","Poplar","0.708","0.859","0.668"
"12","L","40","60","C2","Poplar","0.834","0.847","0.649"
"12","L","48","15","C2","Poplar","0.472","0.878","0.535"
"12","M","48","5","C2","Poplar","0.562","0.838","0.389"
"12","M","30","30","C2","Poplar","0.864","0.849","0.847"
"12","L","30","60","C2","Poplar","0.829","0.839","0.798"
"12","H","48","60","C2","Poplar","0.169","0.828","0.117"
"12","M","42","15","C2","Poplar","0.791","0.861","0.681"
"12","M","30","60","C2","Poplar","0.851","0.829","0.786"
"12","M","54","15","C2","Poplar","0","0.848","0"
"12","H","52","5","C2","Poplar","0.204","0.834","0.122"
"12","H","30","15","C2","Poplar","0.837","0.826","0.809"
"12","L","42","15","C2","Poplar","0.828","0.832",NA
"12","H","52","15","C2","Poplar","0.109","0.849","0.156"
"12","N","52","60","C2","Poplar","0.204","0.863","0.18"
"12","M","54","5","C2","Poplar","0.356","0.844","0.145"
"12","M","30","5","C2","Poplar","0.841","0.849","0.826"
"12","M","58","5","C2","Poplar","0","0.828","0"
"12","H","30","30","C2","Poplar","0.819","0.828","0.779"
"12","L","48","30","C2","Poplar","0.471","0.871","0.445"
"12","M","44","60","C2","Poplar","0.401","0.88","0.26"
"12","M","42","30","C2","Poplar","0.815","0.851","0.579"
"12","M","40","60","C2","Poplar","0.79","0.86","0.626"
"12","L","42","30","C2","Poplar","0.853","0.865","0.712"
"12","M","48","60","C2","Poplar","0.095","0.823","0"
"12","N","30","15","C2","Poplar","0.846","0.848","0.857"
"12","M","44","30","C2","Poplar","0.819","0.858","0.516"
"12","N","54","15","C2","Poplar","0.19","0.843","0.63"
"12","M","52","15","C2","Poplar","0.2","0.832","0.262"
"12","N","30","30","C2","Poplar","0.833","0.857","0.828"
"12","H","30","5","C2","Poplar","0.862","0.833","0.796"
"12","L","48","5","C2","Poplar","0.752","0.856","0.705"
"12","L","58","5","C2","Poplar","0","0.85","0.073"
"12","L","44","15","C2","Poplar","0.792","0.839","0.547"
"12","H","44","30","C2","Poplar","0.68","0.838","0.511"
"12","M","52","5","C2","Poplar","0.437","0.848","0.288"
"12","L","44","30","C2","Poplar","0.767","0.833","0.552"
"12","H","44","5","C2","Poplar","0.788","0.877","0.575"
"12","M","52","60","C2","Poplar","0","0.841","0"
"12","L","54","15","C2","Poplar","0.368","0.829","0.246"
"12","L","52","15","C2","Poplar","0.392","0.862","0.214"
"12","L","48","60","C2","Poplar","0.236","0.869","0.194"
"12","N","54","5","C2","Poplar","0.64","0.841","0.692"
"12","L","52","30","C2","Poplar","0","0.85","0.073"
"12","M","52","30","C2","Poplar","0.077","0.836","0"
"12","H","30","60","C2","Poplar","0.835","0.845","0.746"
"12","H","40","60","C2","Poplar","0.495","0.839","0.47"
"12","M","30","15","C2","Poplar","0.861","0.823","0.833"
"12","L","54","5","C2","Poplar","0.298","0.845","0.474"
"12","N","30","5","C2","Poplar","0.872","0.874","0.834"
"12","L","44","5","C2","Poplar","0.851","0.839","0.692"
"12","H","44","60","C2","Poplar","0.446","0.867","0.202"
"12","L","52","5","C2","Poplar","0.548","0.838","0.542"
"12","N","58","5","C2","Poplar","0.077","0.834","0.569"
"12","H","48","30","C2","Poplar","0.146","0.888","0.263"
"12","H","42","30","C2","Poplar","0.694","0.835","0.488"
"12","H","44","15","C2","Poplar","0.758","0.815","0.425"
"12","H","42","15","C2","Poplar","0.822","0.838","0.552"
"12","H","48","5","C2","Poplar","0.28","0.861","0.251"
"12","L","52","60","C2","Poplar","0.105","0.885","0"
"12","L","44","60","C2","Poplar","0.536","0.83","0.438"
"12","H","48","15","C2","Poplar","0.229","0.868","0.22"
"13","L","40","60","C3","Euc","0.844","0.851","0.673"
"13","M","42","15","C3","Euc","0.774","0.851","0.618"
"13","M","42","30","C3","Euc","0.79","0.846","0.562"
"13","N","44","15","C3","Euc","0.843","0.816","0.734"
"13","M","48","15","C3","Euc","0.462","0.851","0.355"
"13","L","30","5","C3","Euc","0.824","0.848","0.814"
"13","N","44","30","C3","Euc","0.809","0.841","0.725"
"13","N","48","5","C3","Euc","0.789","0.815","0.701"
"13","N","42","30","C3","Euc","0.829","0.864","0.811"
"13","L","42","15","C3","Euc","0.803","0.817",NA
"13","H","54","15","C3","Euc","0","0.812","0"
"13","H","52","60","C3","Euc","0.078","0.831","0"
"13","H","58","5","C3","Euc","0","0.822","0.11"
"13","M","48","30","C3","Euc","0.162","0.823","0"
"13","M","44","15","C3","Euc","0.629","0.861","0.49"
"13","L","30","60","C3","Euc","0.816","0.823","0.751"
"13","H","54","5","C3","Euc","0.263","0.836","0.313"
"13","M","44","30","C3","Euc","0.788","0.847","0.504"
"13","L","30","15","C3","Euc","0.825","0.797","0.794"
"13","N","42","15","C3","Euc","0.841","0.842","0.798"
"13","N","48","60","C3","Euc","0.597","0.818","0.365"
"13","M","44","5","C3","Euc","0.779","0.873","0.627"
"13","N","52","15","C3","Euc","0.302","0.864","0.519"
"13","L","42","30","C3","Euc","0.797","0.854","0.652"
"13","N","30","60","C3","Euc","0.844","0.834","0.819"
"13","H","48","60","C3","Euc","0.179","0.815","0"
"13","M","54","15","C3","Euc","0","0.82","0"
"13","N","40","60","C3","Euc","0.798","0.802","0.796"
"13","N","44","5","C3","Euc","0.833","0.83","0.788"
"13","N","52","30","C3","Euc","0.288","0.865","0.374"
"13","N","48","15","C3","Euc","0.699","0.842","0.643"
"13","N","52","5","C3","Euc","0.623","0.85","0.63"
"13","M","30","30","C3","Euc","0.812","0.852","0.84"
"13","H","52","15","C3","Euc","0","0.827","0"
"13","M","48","5","C3","Euc","0.563","0.818","0.372"
"13","M","54","5","C3","Euc","0.353","0.826","0.427"
