"","AOI","Temp","Time","Cell","Species","Recovery","Day","final","initial","post"
"336","25","44","60","A1","Bean","Dark",1,"0.139","0.793","0.272"
"337","25","52","30","A1","Bean","Dark",1,"0","0.783","0"
"338","25","35","60","A1","Bean","Dark",1,"0.722","0.773","0.716"
"339","25","52","5","A1","Bean","Dark",1,"0","0.81","0.301"
"340","25","35","120","A1","Bean","Dark",1,"0.76","0.817","0.738"
"341","25","52","15","A1","Bean","Dark",1,"0","0.809","0"
"342","25","35","30","A1","Bean","Dark",1,"0.781","0.801","0.74"
"343","26","48","30","A2","Euc","Dark",1,"0.214","0.803","0.263"
"344","26","40","60","A2","Euc","Dark",1,"0.723","0.838","0.705"
"345","26","40","120","A2","Euc","Dark",1,"0.678","0.808","0.714"
"346","26","52","5","A2","Euc","Dark",1,"0.201","0.826","0.211"
"347","26","44","120","A2","Euc","Dark",1,"0.389","0.806","0"
"348","26","52","30","A2","Euc","Dark",1,"0","0.8","0"
"349","26","30","60","A2","Euc","Dark",1,"0.785","0.826","0.72"
"350","26","44","60","A2","Euc","Dark",1,"0.435","0.806","0"
"351","26","44","15","A2","Euc","Dark",1,"0.634","0.813","0.559"
"352","26","35","60","A2","Euc","Dark",1,"0.799","0.816","0.812"
"353","26","35","30","A2","Euc","Dark",1,"0.765","0.803","0.765"
"354","26","48","60","A2","Euc","Dark",1,"0.102","0.804","0"
"355","26","35","120","A2","Euc","Dark",1,"0.598","0.831","0.71"
"356","26","44","30","A2","Euc","Dark",1,"0.742","0.805","0.578"
"357","26","40","30","A2","Euc","Dark",1,"0.765","0.8","0.693"
"358","26","40","15","A2","Euc","Dark",1,"0.769","0.829","0.749"
"359","26","44","5","A2","Euc","Dark",1,"0.758","0.792","0.696"
"360","26","48","5","A2","Euc","Dark",1,"0.587","0.822",NA
"361","26","52","15","A2","Euc","Dark",1,"0","0.811","0.069"
"362","27","40","60","A3","Poplar","Dark",1,"0.76","0.851","0.775"
"363","27","40","120","A3","Poplar","Dark",1,"0.774","0.835","0.694"
"364","27","48","60","A3","Poplar","Dark",1,"0.129","0.811","0.069"
"365","27","30","60","A3","Poplar","Dark",1,"0.843","0.846","0.809"
"366","27","40","30","A3","Poplar","Dark",1,"0.813","0.815","0.76"
"367","27","52","30","A3","Poplar","Dark",1,"0","0.797","0"
"368","27","44","15","A3","Poplar","Dark",1,"0.634","0.807","0.574"
"369","27","44","120","A3","Poplar","Dark",1,"0.389","0.818","0.241"
"370","27","48","5","A3","Poplar","Dark",1,"0.661","0.83",NA
"371","27","48","30","A3","Poplar","Dark",1,"0.361","0.819","0.374"
"372","27","44","60","A3","Poplar","Dark",1,"0.481","0.813","0.299"
"373","27","44","5","A3","Poplar","Dark",1,"0.742","0.816","0.698"
"374","27","52","15","A3","Poplar","Dark",1,"0","0.838","0.269"
"375","27","35","60","A3","Poplar","Dark",1,"0.795","0.817","0.797"
"376","27","40","15","A3","Poplar","Dark",1,"0.813","0.854","0.786"
"377","27","35","30","A3","Poplar","Dark",1,"0.823","0.838","0.811"
"378","27","44","30","A3","Poplar","Dark",1,"0.56","0.828","0.452"
"379","27","52","5","A3","Poplar","Dark",1,"0.198","0.837","0.28"
"380","27","35","120","A3","Poplar","Dark",1,"0.799","0.853","0.793"
"381","28","44","15","A4","Poplar","Dark",1,"0.56","0.805","0.579"
"382","28","40","60","A4","Poplar","Dark",1,"0.734","0.845","0.759"
"383","28","44","120","A4","Poplar","Dark",1,"0.333","0.828","0"
"384","28","40","15","A4","Poplar","Dark",1,"0.807","0.851","0.783"
"385","28","30","60","A4","Poplar","Dark",1,"0.827","0.851","0.768"
"386","28","48","30","A4","Poplar","Dark",1,"0.23","0.833","0.243"
"387","28","44","30","A4","Poplar","Dark",1,"0.635","0.832","0.436"
"388","28","48","60","A4","Poplar","Dark",1,"0.16","0.811","0.089"
"389","28","48","5","A4","Poplar","Dark",1,"0.615","0.842",NA
"390","28","44","60","A4","Poplar","Dark",1,"0.503","0.816","0.337"
"391","28","40","30","A4","Poplar","Dark",1,"0.802","0.81","0.743"
"392","28","40","120","A4","Poplar","Dark",1,"0.72","0.83","0.606"
"393","28","44","5","A4","Poplar","Dark",1,"0.667","0.813","0.688"
"394","28","35","60","A4","Poplar","Dark",1,"0.802","0.811","0.822"
"395","28","35","30","A4","Poplar","Dark",1,"0.825","0.816","0.79"
"396","28","52","30","A4","Poplar","Dark",1,"0","0.816","0"
"397","28","35","120","A4","Poplar","Dark",1,"0.795","0.85","0.798"
