"","AOI","Light","Temp","Time","Cell","Species","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample1","unique_sample","Species_sample"
"357",13,"Moderate",48,15,"C3","Eucalyptus pauciflora",0.462,0.851,0.355,0.54289071680376,5,63,"Eucalyptus pauciflora_63"
"358",13,"Low",30,5,"C3","Eucalyptus pauciflora",0.824,0.848,0.814,0.971698113207547,5,62,"Eucalyptus pauciflora_62"
"359",13,"None",44,30,"C3","Eucalyptus pauciflora",0.809,0.841,0.725,0.961950059453032,5,64,"Eucalyptus pauciflora_64"
"360",13,"None",48,5,"C3","Eucalyptus pauciflora",0.789,0.815,0.701,0.968098159509203,5,64,"Eucalyptus pauciflora_64"
"361",13,"None",42,30,"C3","Eucalyptus pauciflora",0.829,0.864,0.811,0.959490740740741,5,64,"Eucalyptus pauciflora_64"
"362",13,"Low",42,15,"C3","Eucalyptus pauciflora",0.803,0.817,NA,0.982864137086903,5,62,"Eucalyptus pauciflora_62"
"363",13,"High",54,15,"C3","Eucalyptus pauciflora",0,0.812,0,0,5,61,"Eucalyptus pauciflora_61"
"364",13,"High",52,60,"C3","Eucalyptus pauciflora",0.078,0.831,0,0.0938628158844765,5,61,"Eucalyptus pauciflora_61"
"365",13,"High",58,5,"C3","Eucalyptus pauciflora",0,0.822,0.11,0,5,61,"Eucalyptus pauciflora_61"
"366",13,"Moderate",48,30,"C3","Eucalyptus pauciflora",0.162,0.823,0,0.196840826245444,5,63,"Eucalyptus pauciflora_63"
"367",13,"Moderate",44,15,"C3","Eucalyptus pauciflora",0.629,0.861,0.49,0.73054587688734,5,63,"Eucalyptus pauciflora_63"
"368",13,"Low",30,60,"C3","Eucalyptus pauciflora",0.816,0.823,0.751,0.991494532199271,5,62,"Eucalyptus pauciflora_62"
"369",13,"High",54,5,"C3","Eucalyptus pauciflora",0.263,0.836,0.313,0.314593301435407,5,61,"Eucalyptus pauciflora_61"
"370",13,"Moderate",44,30,"C3","Eucalyptus pauciflora",0.788,0.847,0.504,0.93034238488784,5,63,"Eucalyptus pauciflora_63"
"371",13,"Low",30,15,"C3","Eucalyptus pauciflora",0.825,0.797,0.794,1,5,62,"Eucalyptus pauciflora_62"
"372",13,"None",42,15,"C3","Eucalyptus pauciflora",0.841,0.842,0.798,0.998812351543943,5,64,"Eucalyptus pauciflora_64"
"373",13,"None",48,60,"C3","Eucalyptus pauciflora",0.597,0.818,0.365,0.729828850855746,5,64,"Eucalyptus pauciflora_64"
"374",13,"Moderate",44,5,"C3","Eucalyptus pauciflora",0.779,0.873,0.627,0.892325315005727,5,63,"Eucalyptus pauciflora_63"
"375",13,"None",52,15,"C3","Eucalyptus pauciflora",0.302,0.864,0.519,0.349537037037037,5,64,"Eucalyptus pauciflora_64"
"376",13,"Low",42,30,"C3","Eucalyptus pauciflora",0.797,0.854,0.652,0.933255269320843,5,62,"Eucalyptus pauciflora_62"
"377",13,"None",30,60,"C3","Eucalyptus pauciflora",0.844,0.834,0.819,1,5,64,"Eucalyptus pauciflora_64"
"378",13,"High",48,60,"C3","Eucalyptus pauciflora",0.179,0.815,0,0.219631901840491,5,61,"Eucalyptus pauciflora_61"
"379",13,"Moderate",54,15,"C3","Eucalyptus pauciflora",0,0.82,0,0,5,63,"Eucalyptus pauciflora_63"
"380",13,"None",40,60,"C3","Eucalyptus pauciflora",0.798,0.802,0.796,0.99501246882793,5,64,"Eucalyptus pauciflora_64"
"381",13,"None",44,5,"C3","Eucalyptus pauciflora",0.833,0.83,0.788,1,5,64,"Eucalyptus pauciflora_64"
"382",13,"None",52,30,"C3","Eucalyptus pauciflora",0.288,0.865,0.374,0.332947976878613,5,64,"Eucalyptus pauciflora_64"
"383",13,"None",48,15,"C3","Eucalyptus pauciflora",0.699,0.842,0.643,0.830166270783848,5,64,"Eucalyptus pauciflora_64"
"384",13,"None",52,5,"C3","Eucalyptus pauciflora",0.623,0.85,0.63,0.732941176470588,5,64,"Eucalyptus pauciflora_64"
"385",13,"Moderate",30,30,"C3","Eucalyptus pauciflora",0.812,0.852,0.84,0.953051643192488,5,63,"Eucalyptus pauciflora_63"
"386",13,"High",52,15,"C3","Eucalyptus pauciflora",0,0.827,0,0,5,61,"Eucalyptus pauciflora_61"
