unique_sample,response_type,threshold,ctmax_1h,ctmax_1m,z_1h,z_1m,r_squared_1h,r_squared_1m,valid_fit,issues
42,fvfm_io,T90,50.38978145549295,58.22023815266025,-4.403706768745263,-4.403706768745264,0.9882367353901866,0.9882367353901866,TRUE,NA
43,fvfm_io,T90,45.188410996254454,52.08948465514364,-3.8810386109731976,-3.8810386109731976,0.9964693575651493,0.9964693575651493,TRUE,NA
44,fvfm_io,T90,50.34327403316049,53.61199685861509,-1.8382704085208526,-1.8382704085208526,0.9746546308078654,0.9746546308078654,TRUE,NA
45,fvfm_io,T90,NA,NA,NA,NA,0.9124315049636149,0.9124315049636149,FALSE,z out of range (5.5)
46,fvfm_io,T90,NA,NA,NA,NA,0.886453737186149,0.8864537371861488,FALSE,z out of range (6.1)
47,fvfm_io,T90,48.45700248393043,54.64062229753294,-3.4775555860438594,-3.47755558604386,0.9861715613376104,0.9861715613376104,TRUE,NA
48,fvfm_io,T90,45.09033147484889,50.124196046626516,-2.8309540994848232,-2.830954099484824,0.9669851032448893,0.9669851032448893,TRUE,NA
1,fvfm_io,T50,40.57617694952854,48.0210027907077,-4.1868349723190885,-4.186834972319089,0.9976937551101714,0.9976937551101713,TRUE,NA
2,fvfm_io,T50,49.087655637426124,52.359654158543556,-1.8401126003265973,-1.8401126003265975,0.9941050543971941,0.9941050543971941,TRUE,NA
3,fvfm_io,T50,39.335385233617885,48.082151584974895,-4.919022692512725,-4.919022692512727,0.9922428621322777,0.9922428621322775,TRUE,NA
4,fvfm_io,T50,39.492221569602,47.362503404150644,-4.426103703411386,-4.426103703411387,0.9809809068458282,0.9809809068458282,TRUE,NA
5,fvfm_io,T50,44.42113817501493,52.09693642844131,-4.3167296661463945,-4.316729666146394,0.9947428150616646,0.9947428150616646,TRUE,NA
6,fvfm_io,T50,42.9261981802518,49.75561283554829,-3.8407388875513346,-3.8407388875513346,0.9738089230398723,0.9738089230398723,TRUE,NA
7,fvfm_io,T50,46.90588262263604,54.662283222008554,-4.362058963037616,-4.362058963037616,0.9975064192824462,0.9975064192824462,TRUE,NA
8,fvfm_io,T50,48.343773382302494,52.22289642667987,-2.1815484163905907,-2.1815484163905907,0.9948255102814143,0.9948255102814143,TRUE,NA
9,fvfm_io,T50,48.274074641056515,52.471351753526136,-2.3604724916196185,-2.3604724916196185,0.9972486996439968,0.9972486996439968,TRUE,NA
10,fvfm_io,T50,44.44431166060148,47.953553466192155,-1.973533918913557,-1.973533918913557,0.9470503970625153,0.9470503970625153,TRUE,NA
11,fvfm_io,T50,43.90368022113665,51.278568334950634,-4.1475032634163265,-4.1475032634163265,0.9962307043585058,0.9962307043585058,TRUE,NA
12,fvfm_io,T50,44.251438307593126,48.62083888785205,-2.457271606853587,-2.4572716068535874,0.9736242118366375,0.9736242118366375,TRUE,NA
13,fvfm_io,T50,43.53413758085262,50.245617569684526,-3.7744145709673855,-3.7744145709673855,0.9874555211401067,0.9874555211401067,TRUE,NA
14,fvfm_io,T50,39.24598239540183,44.331517907727445,-2.860012898918695,-2.860012898918695,0.9837362723651856,0.9837362723651856,TRUE,NA
15,fvfm_io,T50,42.4482913910227,49.84266845064393,-4.158463492926068,-4.158463492926068,0.9869166275096927,0.9869166275096924,TRUE,NA
16,fvfm_io,T50,42.91089745950127,49.22960113849544,-3.5535243009450865,-3.5535243009450865,0.9844378480602114,0.9844378480602114,TRUE,NA
17,fvfm_io,T50,39.514407568097695,45.86374000863355,-3.570749360700311,-3.5707493607003125,0.9841905596271215,0.9841905596271215,TRUE,NA
18,fvfm_io,T50,39.97950101772067,47.907996423604395,-4.45884195968882,-4.45884195968882,0.9982476020396678,0.9982476020396679,TRUE,NA
19,fvfm_io,T50,43.74129073258415,53.65320500848907,-5.574280744546555,-5.574280744546556,0.9996222565508514,0.9996222565508514,TRUE,NA
20,fvfm_io,T50,44.26184347859509,52.40335454735546,-4.578638103481808,-4.578638103481808,0.9991362368558554,0.9991362368558554,TRUE,NA
21,fvfm_io,T50,44.03836051362496,51.92243160223471,-4.433858529699727,-4.4338585296997275,0.999132775745296,0.999132775745296,TRUE,NA
22,fvfm_io,T50,43.93087452040758,51.48876423794346,-4.250420044923198,-4.250420044923198,0.9992413240767442,0.9992413240767442,TRUE,NA
23,fvfm_io,T50,44.36432690221773,49.86154869767004,-3.091537794811468,-3.091537794811468,0.9841415185858551,0.9841415185858551,TRUE,NA
24,fvfm_io,T50,49.262717077788245,54.099917059795764,-2.7203535025290346,-2.7203535025290346,0.9908715937762989,0.9908715937762989,TRUE,NA
25,fvfm_io,T50,49.57452761573785,57.31991810012223,-4.355867074138536,-4.355867074138537,0.9885551633754351,0.9885551633754353,TRUE,NA
26,fvfm_io,T50,44.122536188156154,52.37801697225367,-4.642732603492732,-4.642732603492732,0.9842966694315528,0.9842966694315528,TRUE,NA
27,fvfm_io,T50,39.320774917486936,47.09087214206676,-4.369761696539253,-4.369761696539253,0.9919662026216257,0.9919662026216257,TRUE,NA
28,fvfm_io,T50,48.79242953016398,52.97748084855868,-2.3535969268597134,-2.3535969268597134,0.9852007791997495,0.9852007791997495,TRUE,NA
29,fvfm_io,T50,39.857338833322295,47.42416240654186,-4.255444283261614,-4.255444283261616,0.9878552066589306,0.9878552066589306,TRUE,NA
30,fvfm_io,T50,40.06805599240662,48.192486585433976,-4.56903235384193,-4.569032353841931,0.9923169800458311,0.9923169800458311,TRUE,NA
31,fvfm_io,T50,45.26260239784835,54.26118214985288,-5.060637980072313,-5.060637980072313,0.995440496362437,0.995440496362437,TRUE,NA
32,fvfm_io,T50,44.54179786052314,51.7726848264532,-4.066519630638827,-4.066519630638827,0.9979276599555873,0.9979276599555873,TRUE,NA
33,fvfm_io,T50,50.21348497599742,52.03577610754855,-1.0248234682836799,-1.02482346828368,0.880180465740056,0.880180465740056,TRUE,NA
34,fvfm_io,T50,43.68623898066133,49.576195246945346,-3.312404535335919,-3.312404535335919,0.9795794241496389,0.9795794241496389,TRUE,NA
35,fvfm_io,T50,49.481858408212226,53.60433824144406,-2.3184078589166095,-2.3184078589166095,0.9934109486456131,0.9934109486456131,TRUE,NA
36,fvfm_io,T50,49.67080514064573,55.613870872122845,-3.3422723349292602,-3.3422723349292607,0.9812959322052164,0.9812959322052164,TRUE,NA
37,fvfm_io,T50,44.26146255848403,52.541742008080874,-4.656678923016446,-4.656678923016446,0.980097634877813,0.980097634877813,TRUE,NA
38,fvfm_io,T50,45.536216094401404,54.66488330580558,-5.133796806899654,-5.133796806899654,0.99907644307256,0.99907644307256,TRUE,NA
39,fvfm_io,T50,44.86713112391679,52.51965592132561,-4.303641096761455,-4.303641096761455,0.9987990225827293,0.9987990225827293,TRUE,NA
40,fvfm_io,T50,39.83824261989524,47.963287191492704,-4.569377644249587,-4.569377644249587,0.9945616495279399,0.9945616495279399,TRUE,NA
41,fvfm_io,T50,44.72282910551827,53.05359097700034,-4.68506932111915,-4.68506932111915,0.9990860015382175,0.9990860015382175,TRUE,NA
42,fvfm_io,T50,44.71684263969249,51.85739440229519,-4.015716751351771,-4.015716751351772,0.9974360386140225,0.9974360386140225,TRUE,NA
43,fvfm_io,T50,40.25139177761913,48.358598277759285,-4.559345836520362,-4.559345836520362,0.993087950634215,0.993087950634215,TRUE,NA
44,fvfm_io,T50,43.76463067093302,49.82180876028814,-3.406447054517025,-3.406447054517025,0.980938742121213,0.980938742121213,TRUE,NA
45,fvfm_io,T50,52.05754190633024,49.70134270265338,1.325083680687176,1.3250836806871762,0.6368630261373717,0.6368630261373717,TRUE,NA
46,fvfm_io,T50,51.98029022767141,49.57928098434089,1.3502840339439566,1.350284033943957,0.28892202754274543,0.2889220275427453,TRUE,NA
47,fvfm_io,T50,41.7972708805138,50.81962385622845,-5.074007609739642,-5.074007609739642,0.9811012588155021,0.9811012588155021,TRUE,NA
48,fvfm_io,T50,39.9769155159566,46.49411037148433,-3.6651521371545996,-3.6651521371546005,0.9808153957975494,0.9808153957975492,TRUE,NA
1,fvfm_io,T10,35.74934312980177,43.229768677003364,-4.2068556010562395,-4.20685560105624,0.9919197536038772,0.9919197536038772,TRUE,NA
2,fvfm_io,T10,37.4955955483022,47.531120446053116,-5.643797115451068,-5.643797115451068,0.9585998055343413,0.9585998055343413,TRUE,NA
3,fvfm_io,T10,34.21680400098777,44.32657856878827,-5.6855537826825895,-5.68555378268259,0.9837989273593597,0.9837989273593597,TRUE,NA
4,fvfm_io,T10,34.255186270784115,44.039456684506824,-5.502496152457063,-5.502496152457063,0.9817827730229371,0.9817827730229371,TRUE,NA
5,fvfm_io,T10,38.65544987419453,48.069922151825736,-5.294528390427974,-5.294528390427976,0.9882783180728525,0.9882783180728525,TRUE,NA
6,fvfm_io,T10,35.809126560072514,46.94859169920386,-6.264633077038832,-6.264633077038834,0.965411705917593,0.9654117059175927,TRUE,NA
7,fvfm_io,T10,38.455693882592364,49.86457384701833,-6.416147086455359,-6.416147086455361,0.9757766396381136,0.9757766396381136,TRUE,NA
8,fvfm_io,T10,36.429976523829346,48.8306255688704,-6.9739000224899685,-6.9739000224899685,0.9491173449853376,0.9491173449853376,TRUE,NA
9,fvfm_io,T10,36.93704826392054,50.35246151330774,-7.544584998881717,-7.544584998881717,0.9440037764512431,0.9440037764512429,TRUE,NA
10,fvfm_io,T10,35.56667282234852,46.194900459823145,-5.977122382126685,-5.977122382126685,0.9352603207339287,0.9352603207339286,TRUE,NA
11,fvfm_io,T10,37.70146652524847,47.04641475522087,-5.255429327486169,-5.255429327486169,0.9875502157956828,0.9875502157956828,TRUE,NA
12,fvfm_io,T10,36.51684868312753,45.975296076414224,-5.319259197577263,-5.319259197577263,0.9571308289517731,0.9571308289517731,TRUE,NA
13,fvfm_io,T10,36.78192397941819,46.582086975430926,-5.511433852378032,-5.511433852378033,0.9762608031048289,0.9762608031048289,TRUE,NA
14,fvfm_io,T10,34.73245608860327,39.739852769080215,-2.8160690376572695,-2.8160690376572695,0.9701009311563837,0.9701009311563837,TRUE,NA
15,fvfm_io,T10,36.189605712707575,45.95477918592243,-5.491756379615052,-5.491756379615053,0.9867436452447413,0.9867436452447412,TRUE,NA
16,fvfm_io,T10,36.64145998533885,45.476279323102766,-4.968542094412821,-4.968542094412821,0.9771546437665549,0.9771546437665549,TRUE,NA
17,fvfm_io,T10,34.81241031556824,41.86400530136652,-3.9656890741307067,-3.9656890741307076,0.9867907268749706,0.9867907268749706,TRUE,NA
18,fvfm_io,T10,35.243114561415304,42.57273384739703,-4.122044896012264,-4.122044896012264,0.9756619925809331,0.975661992580933,TRUE,NA
19,fvfm_io,T10,36.45847933707713,46.977142031945895,-5.915505046378546,-5.915505046378547,0.9979593858386221,0.9979593858386221,TRUE,NA
20,fvfm_io,T10,38.67403850706985,47.2194573060767,-4.805788482370741,-4.805788482370741,0.9952715058241324,0.9952715058241324,TRUE,NA
21,fvfm_io,T10,38.113565445361246,46.488324738657425,-4.7098126728473195,-4.7098126728473195,0.9930078899928119,0.9930078899928119,TRUE,NA
22,fvfm_io,T10,37.7428771476663,45.438005600083414,-4.327600619326875,-4.3276006193268755,0.9944396870909964,0.9944396870909964,TRUE,NA
23,fvfm_io,T10,37.73255171341975,46.30096081666609,-4.818717812333269,-4.8187178123332695,0.9718721213676651,0.9718721213676649,TRUE,NA
24,fvfm_io,T10,38.59889122682095,51.1750091371374,-7.07258052857039,-7.072580528570392,0.9534297126279676,0.9534297126279676,TRUE,NA
25,fvfm_io,T10,41.4644329310034,51.88986064362946,-5.863071384043806,-5.863071384043807,0.9857536623809804,0.9857536623809804,TRUE,NA
26,fvfm_io,T10,37.35309704465227,48.93735622637769,-6.514777176140704,-6.514777176140705,0.9730473919024623,0.9730473919024621,TRUE,NA
27,fvfm_io,T10,34.47305399705124,43.13790170296761,-4.872953132669051,-4.872953132669051,0.9885812569547705,0.9885812569547705,TRUE,NA
28,fvfm_io,T10,40.233017577521906,50.47896291400763,-5.762133752275079,-5.76213375227508,0.9416010156763501,0.94160101567635,TRUE,NA
29,fvfm_io,T10,34.573013392605695,43.74164939922348,-5.156274532124092,-5.156274532124094,0.987050829925606,0.987050829925606,TRUE,NA
30,fvfm_io,T10,34.86521201132302,44.23409095476564,-5.2688875265370445,-5.2688875265370445,0.991379891724858,0.991379891724858,TRUE,NA
31,fvfm_io,T10,40.34571835572233,48.10360392630011,-4.3628940838997705,-4.3628940838997705,0.9948292393142538,0.9948292393142538,TRUE,NA
32,fvfm_io,T10,37.29943466353367,46.7145551680405,-5.294892941461241,-5.294892941461242,0.9872651462498925,0.9872651462498925,TRUE,NA
33,fvfm_io,T10,40.68362628677663,51.53652029478016,-6.103470672509983,-6.103470672509986,0.9252321750677917,0.9252321750677917,TRUE,NA
34,fvfm_io,T10,36.90051159077071,45.86704547173789,-5.042615963649105,-5.042615963649106,0.9758254359002955,0.9758254359002955,TRUE,NA
35,fvfm_io,T10,40.56162642777988,50.27873952443896,-5.464728095859432,-5.464728095859432,0.9601138758034715,0.9601138758034715,TRUE,NA
36,fvfm_io,T10,40.49802485707134,52.568289473533504,-6.788097814433928,-6.788097814433928,0.9529353952821236,0.9529353952821236,TRUE,NA
