unique_sample,response_type,threshold,Time,temperature,temperature_sd
59,fvfm_io,T90,5,60.399443990012784,3.766632133062027
59,fvfm_io,T90,15,53.25563633769741,0.9697443601773171
59,fvfm_io,T90,30,51.306333921445734,0.657379496052704
59,fvfm_io,T90,60,49.662037701478106,0.8849790288388911
60,fvfm_io,T90,5,63.24905660725129,4.829727881088104
60,fvfm_io,T90,15,61.12664662555923,2.6895671081216226
60,fvfm_io,T90,30,59.79523941788862,2.5194818452436523
60,fvfm_io,T90,60,56.34057874878709,2.359689046659161
61,fvfm_io,T90,5,53.31271330103481,2.2031730010053736
61,fvfm_io,T90,15,52.11409843579042,1.4252838710041327
61,fvfm_io,T90,30,51.54535194729091,1.8906512395673167
61,fvfm_io,T90,60,49.592710335086245,4.448375669315597
62,fvfm_io,T90,5,62.717362301096465,5.69003530737668
62,fvfm_io,T90,15,56.67412755108545,1.7860401929669671
62,fvfm_io,T90,30,54.98233094832526,1.870409666304619
62,fvfm_io,T90,60,52.42190090929718,1.7193033154038102
63,fvfm_io,T90,5,59.02568275812996,3.1570126854905434
63,fvfm_io,T90,15,54.95742354892874,1.3253797563838696
63,fvfm_io,T90,30,53.596729245355974,1.334530298319232
63,fvfm_io,T90,60,51.43817184513354,1.1694080748955835
64,fvfm_io,T90,5,71.57757849870363,5.993384890129915
64,fvfm_io,T90,15,61.798879213503355,2.5924243417179995
64,fvfm_io,T90,30,59.64265337652982,2.582011704066533
64,fvfm_io,T90,60,56.21574315448882,2.132500372336985
65,fvfm_io,T90,5,50.322691066341356,1.5068357884073096
65,fvfm_io,T90,15,47.48645469921463,0.9218708050491208
65,fvfm_io,T90,30,46.372447799500655,1.1003264567630062
65,fvfm_io,T90,60,45.04976302397613,1.4052422347377445
66,fvfm_io,T90,5,54.48730410037671,2.604049446137815
66,fvfm_io,T90,15,49.54115525824454,1.1713676569151692
66,fvfm_io,T90,30,47.38767442590628,0.8368487158830382
66,fvfm_io,T90,60,45.88500634748826,1.0567314498372995
67,fvfm_io,T90,5,54.60516285131498,3.294424356489403
67,fvfm_io,T90,15,47.94602783549293,1.3797574287941314
67,fvfm_io,T90,30,45.828436934529236,1.2574333844157646
67,fvfm_io,T90,60,44.06667789915303,1.008415083896764
68,fvfm_io,T90,5,56.28964490300504,3.843884046260673
68,fvfm_io,T90,15,53.472332502385505,1.5733231494616757
68,fvfm_io,T90,30,52.71618384871241,1.8129226179742965
68,fvfm_io,T90,60,51.21598644775446,2.3424036699505035
69,fvfm_io,T90,5,64.4155455923155,4.819525313974012
69,fvfm_io,T90,15,65.93551285424697,3.7256057553182886
69,fvfm_io,T90,30,66.77841579747215,4.698299132815538
69,fvfm_io,T90,60,62.92089951233696,5.342901163144746
70,fvfm_io,T90,5,64.19218647597368,4.593572839078165
70,fvfm_io,T90,15,63.67293956415979,4.54793605465406
70,fvfm_io,T90,30,61.10770739951056,4.658694258108239
70,fvfm_io,T90,60,56.351422623766005,3.6893761740506053
71,fvfm_io,T90,5,66.98249503797716,4.551555084547885
71,fvfm_io,T90,15,68.65186923404013,5.143918397157966
71,fvfm_io,T90,30,67.72325668364407,5.334048037216156
71,fvfm_io,T90,60,62.93285539051683,5.710778187954796
72,fvfm_io,T90,5,69.52611438965911,8.282933391664791
72,fvfm_io,T90,15,72.19765257926515,5.33545906610436
72,fvfm_io,T90,30,NA,NA
72,fvfm_io,T90,60,72.26876342956027,7.73587596720275
73,fvfm_io,T90,5,54.74733942235032,2.070853124354275
73,fvfm_io,T90,15,51.992171543368144,0.6692671564333174
73,fvfm_io,T90,30,51.192219427498415,0.8466549758020717
73,fvfm_io,T90,60,50.16562578390627,1.4017938384572464
74,fvfm_io,T90,5,63.420438584794084,6.144477168899283
74,fvfm_io,T90,15,58.44368314689664,2.672651342657244
74,fvfm_io,T90,30,56.067737819449896,2.6420404551425034
74,fvfm_io,T90,60,52.742990880376674,2.5696791923097493
75,fvfm_io,T90,5,61.61676054532607,5.2355879737691025
75,fvfm_io,T90,15,53.896200012116196,1.0665316822041302
75,fvfm_io,T90,30,51.75363525215368,0.9016589758454675
75,fvfm_io,T90,60,50.121339484208335,0.888040360877392
76,fvfm_io,T90,5,71.75153173350763,5.960270984020926
76,fvfm_io,T90,15,63.318739637474344,3.625966885220723
76,fvfm_io,T90,30,61.02464172345528,3.4687366929123282
76,fvfm_io,T90,60,57.13776604634109,3.0807344536273
77,fvfm_io,T90,5,63.30861289078886,4.828088501138034
77,fvfm_io,T90,15,59.368812967602885,2.304767963158047
77,fvfm_io,T90,30,58.827520391346,2.485186665340595
77,fvfm_io,T90,60,56.43441403796388,2.52072820426865
78,fvfm_io,T90,5,62.10192925407098,4.260137884489694
78,fvfm_io,T90,15,66.02789424000032,4.033748861892786
78,fvfm_io,T90,30,65.86183365539043,3.8533256868697
78,fvfm_io,T90,60,60.03852078403836,3.4384107442004592
79,fvfm_io,T90,5,64.70763207687213,4.935431419028039
79,fvfm_io,T90,15,65.54474739957205,4.362139612690764
79,fvfm_io,T90,30,64.77501738621899,4.603532332405068
79,fvfm_io,T90,60,60.1828552198199,4.825995950118584
80,fvfm_io,T90,5,NA,NA
80,fvfm_io,T90,15,NA,NA
80,fvfm_io,T90,30,NA,NA
80,fvfm_io,T90,60,69.66970272094457,4.830316716379068
1,fvfm_io,T50,5,45.45650566880551,0.8886183429212557
1,fvfm_io,T50,15,43.05102430573072,0.6386110706183653
1,fvfm_io,T50,30,40.757715976283116,1.3856325099022029
1,fvfm_io,T50,60,39.20076288965866,2.163100564416044
2,fvfm_io,T50,5,46.19476656370155,2.1174548987079205
2,fvfm_io,T50,15,44.325729205385265,0.963439559102305
