"","X","AOI","Temp","Time","Cell","Species","Recovery","Day","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample","Species_sample"
"626",626,39,35,30,"C3","Lomandra longifolia","Dark",1,0.777,0.794,0.769,0.978589420654912,33,"Lomandra longifolia_33"
"627",627,39,52,5,"C3","Lomandra longifolia","Dark",1,0.523,0.816,0.566,0.64093137254902,33,"Lomandra longifolia_33"
"628",628,4,40,15,"A4","Populus nigra","Light",1,0.814,0.857,0.784,0.949824970828471,34,"Populus nigra_34"
"629",629,4,40,120,"A4","Populus nigra","Light",1,0.668,0.829,0.523,0.805790108564536,34,"Populus nigra_34"
"630",630,4,30,60,"A4","Populus nigra","Light",1,0.801,0.847,0.731,0.9456906729634,34,"Populus nigra_34"
"631",631,4,48,5,"A4","Populus nigra","Light",1,0.39,0.834,NA,0.467625899280576,34,"Populus nigra_34"
"632",632,4,44,5,"A4","Populus nigra","Light",1,0.709,0.825,0.541,0.859393939393939,34,"Populus nigra_34"
"633",633,4,52,5,"A4","Populus nigra","Light",1,0.053,0.844,0,0.0627962085308057,34,"Populus nigra_34"
"634",634,4,48,60,"A4","Populus nigra","Light",1,0.141,0.824,0.121,0.171116504854369,34,"Populus nigra_34"
"635",635,4,40,30,"A4","Populus nigra","Light",1,0.778,0.82,0.677,0.948780487804878,34,"Populus nigra_34"
"636",636,4,44,15,"A4","Populus nigra","Light",1,0.556,0.817,0.466,0.680538555691555,34,"Populus nigra_34"
